Risk,File,Line,Pattern,Text,Context,Reason,Auto-Fixable
RED,templates/business_auth/license_info.html,326,Divs with text,{% if transcript_analysis.start_date is string == false and transcript_analysis.end_date is string =,"<div class=""license-info-value"">                         {% if transcript_analysis.start_date is str",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/license_info.html,342,Divs with text,Transcript Analysis Not Configured,"<div class=""license-date-label"">Transcript Analysis Not Configured</div>",Div content - verify not used dynamically,NO
YELLOW,templates/business_auth/license_info.html,343,Divs with text,Add-on Not Purchased,"<div class=""license-date-value"">Add-on Not Purchased</div>",Div content - verify not used dynamically,NO
YELLOW,templates/business_auth/license_info.html,344,Divs with text,Contact your administrator to enable transcript analysis capabilities.,"<div class=""license-date-meta"">                 Contact your administrator to enable transcript anal",Div content - verify not used dynamically,NO
RED,templates/business_auth/license_overview.html,41,Spans,{{ account_data.license_type|title }},"<span class=""license-type license-{{ account_data.license_type }}"">                             {{ a",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/license_overview.html,47,Spans,"{{ account_data.license_status|title }}
                            {% if account_data.expires_soon ","<span class=""license-status status-{{ account_data.license_status }}"">                             {",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/assignment_form.html,92,Divs with text,{{ usage_stats.users_count }},"<div style=""font-size: var(--font-size-2xl); font-weight: 600; color: var(--primary-red);"">         ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/assignment_form.html,102,Divs with text,{{ usage_stats.campaigns_count }},"<div style=""font-size: var(--font-size-2xl); font-weight: 600; color: var(--primary-red);"">         ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/assignment_form.html,119,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/assignment_form.html,120,Value attributes (buttons/inputs),{{ business_account.id }},"value=""{{ business_account.id }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/assignment_form.html,136,Value attributes (buttons/inputs),core,"value=""core""",License type value - backend dependency,NO
RED,templates/business_auth/licenses/assignment_form.html,181,Value attributes (buttons/inputs),plus,"value=""plus""",License type value - backend dependency,NO
YELLOW,templates/business_auth/licenses/assignment_form.html,227,Value attributes (buttons/inputs),pro,"value=""pro""",Form value - verify not used by backend logic,NO
GREEN,templates/business_auth/licenses/assignment_form.html,238,Headings (h1-h6),Pro License,"<h4 class=""mb-1"" style=""font-weight: 600;"">Pro License</h4>",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/licenses/assignment_form.html,242,Divs with text,Custom,"<div style=""font-size: var(--font-size-xl); font-weight: 600; color: var(--primary-red);"">Custom</di",Div content - verify not used dynamically,NO
YELLOW,templates/business_auth/licenses/assignment_form.html,243,Divs with text,pricing,"<div class=""text-muted"" style=""font-size: var(--font-size-xs);"">pricing</div>",Div content - verify not used dynamically,NO
RED,templates/business_auth/licenses/assignment_form.html,285,Value attributes (buttons/inputs),{{ current_license.max_users if current_license and current_license.type == 'pro' else 25 }},"value=""{{ current_license.max_users if current_license and current_license.type == 'pro' else 25 }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/assignment_form.html,291,Value attributes (buttons/inputs),{{ current_license.max_campaigns if current_license and current_license.type == 'pro' else 100 }},"value=""{{ current_license.max_campaigns if current_license and current_license.type == 'pro' else 10",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/assignment_form.html,297,Value attributes (buttons/inputs),{{ current_license.max_participants_per_campaign if current_license and current_license.type == 'pro,"value=""{{ current_license.max_participants_per_campaign if current_license and current_license.type ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/assignment_form.html,303,Value attributes (buttons/inputs),{{ current_license.max_invitations_per_campaign if current_license and current_license.type == 'pro',"value=""{{ current_license.max_invitations_per_campaign if current_license and current_license.type =",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/assignment_form.html,338,Value attributes (buttons/inputs),{{ current_license.transcript_analysis_start_date.strftime('%Y-%m-%d') if current_license and curren,"value=""{{ current_license.transcript_analysis_start_date.strftime('%Y-%m-%d') if current_license and",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/licenses/assignment_form.html,339,Divs with text,When transcript analysis access begins,"<div class=""form-text"">When transcript analysis access begins</div>",Div content - verify not used dynamically,NO
RED,templates/business_auth/licenses/assignment_form.html,344,Value attributes (buttons/inputs),{{ current_license.transcript_analysis_end_date.strftime('%Y-%m-%d') if current_license and current_,"value=""{{ current_license.transcript_analysis_end_date.strftime('%Y-%m-%d') if current_license and c",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/licenses/assignment_form.html,345,Divs with text,When transcript analysis access expires,"<div class=""form-text"">When transcript analysis access expires</div>",Div content - verify not used dynamically,NO
RED,templates/business_auth/licenses/assignment_form.html,353,Value attributes (buttons/inputs),{{ '%.2f'|format(current_license.transcript_analysis_price|float) if current_license and current_lic,"value=""{{ '%.2f'|format(current_license.transcript_analysis_price|float) if current_license and curr",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/licenses/assignment_form.html,355,Divs with text,Custom pricing for this add-on period,"<div class=""form-text"">Custom pricing for this add-on period</div>",Div content - verify not used dynamically,NO
GREEN,templates/business_auth/licenses/assignment_form.html,376,Labels,Notes (Optional),"<label for=""notes"" class=""form-label"">Notes (Optional)</label>",Safe display text - auto-wrappable,YES
RED,templates/business_auth/licenses/assignment_result.html,296,Headings (h1-h6),"{% if success %}
                        License Assignment Successful!
                    {% else ","<h1 class=""result-title"">                     {% if success %}                         License Assig",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/assignment_result.html,303,Paragraphs,"{% if success %}
                        The license has been successfully assigned to {{ business_a","<p class=""result-subtitle"">                     {% if success %}                         The license",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/licenses/assignment_result.html,342,Spans,Email:,"<span class=""detail-label"">Email:</span>",Span element - check for JavaScript dependencies,NO
RED,templates/business_auth/licenses/dashboard.html,157,Links (a tags),{{ alert.action_text or 'View Details' }},"<a href=""{{ alert.action_url }}"" class=""btn btn-sm btn-outline-primary"">                     {{ aler",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/history.html,392,Headings (h1-h6),"{% set different_types = license_history | map(attribute='license_type') | list | unique | list %}
 ","<h3 class=""stat-number"">                     {% set different_types = license_history | map(attribut",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/history.html,399,Headings (h1-h6),"{% if license_history %}
                        {% set first_license = license_history[-1] %}
     ","<h3 class=""stat-number"">                     {% if license_history %}                         {% set",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/history.html,428,Divs with text,{{ record.duration_days }} day{{ 's' if record.duration_days != 1 else '' }},"<div class=""timeline-duration"">                         {{ record.duration_days }} day{{ 's' if reco",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/history.html,435,Divs with text,"{{ record.assigned_at.strftime('%B %d, %Y at %I:%M %p') if record.assigned_at else 'Unknown date' }}","<div class=""timeline-date"">                                 {{ record.assigned_at.strftime('%B %d, %",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/history.html,438,Headings (h1-h6),"{% if record.action_type == 'assigned' %}
                                    License Assigned: {{ r","<h5 class=""timeline-action"">                                 {% if record.action_type == 'assigned' ",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/licenses/history.html,486,Spans,Expiration,"<span class=""detail-label"">Expiration</span>",Span element - check for JavaScript dependencies,NO
GREEN,templates/business_auth/licenses/overview.html,287,Placeholder attributes,Search by business name or email...,"placeholder=""Search by business name or email...""",Safe display text - auto-wrappable,YES
RED,templates/business_auth/licenses/overview.html,288,Value attributes (buttons/inputs),"{{ request.args.get('search', '') }}","value=""{{ request.args.get('search', '') }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/overview.html,294,Value attributes (buttons/inputs),core,"value=""core""",License type value - backend dependency,NO
RED,templates/business_auth/licenses/overview.html,295,Value attributes (buttons/inputs),plus,"value=""plus""",License type value - backend dependency,NO
YELLOW,templates/business_auth/licenses/overview.html,296,Value attributes (buttons/inputs),pro,"value=""pro""",Form value - verify not used by backend logic,NO
RED,templates/business_auth/licenses/overview.html,297,Value attributes (buttons/inputs),trial,"value=""trial""",License type value - backend dependency,NO
RED,templates/business_auth/licenses/overview.html,304,Value attributes (buttons/inputs),active,"value=""active""",Status value - backend dependency,NO
YELLOW,templates/business_auth/licenses/overview.html,305,Value attributes (buttons/inputs),expiring,"value=""expiring""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/licenses/overview.html,306,Value attributes (buttons/inputs),expired,"value=""expired""",Form value - verify not used by backend logic,NO
GREEN,templates/business_auth/licenses/overview.html,329,Table headers (th),Expiration,<th>Expiration</th>,Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/licenses/overview.html,330,Table headers (th),Actions,<th>Actions</th>,Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/licenses/overview.html,377,Spans,Unlimited,"<span class=""text-muted"">Unlimited</span>",Span element - check for JavaScript dependencies,NO
RED,templates/business_auth/licenses/overview.html,429,Divs with text,"Showing {{ pagination.per_page * (pagination.page - 1) + 1 }} 
                    to {{ min(paginat","<div class=""text-muted"">                     Showing {{ pagination.per_page * (pagination.page - 1) ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/licenses/overview.html,448,Links (a tags),{{ page_num }},"<a class=""page-link"" href=""{{ url_for('business_auth.business_license_overview', page=page_num, **re",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/login.html,27,ARIA labels,Close,"aria-label=""Close""",Accessibility label - needs screen reader testing,NO
RED,templates/business_auth/login.html,37,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/login.html,87,Links (a tags),RIVVALUE inc.,"<a href=""https://www.rivvalue.com"" target=""_blank"" rel=""noopener noreferrer"" class=""text-muted"">RIVV",Link text - verify not email/URL,NO
RED,templates/business_auth/manage_users.html,22,Paragraphs,Manage users and team members for {{ business_account.name }},<p>Manage users and team members for {{ business_account.name }}</p>,Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/manage_users.html,32,ARIA labels,Close,"aria-label=""Close""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/manage_users.html,49,ARIA labels,User limit usage,"aria-label=""User limit usage""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/manage_users.html,60,ARIA labels,Add new user,"aria-label=""Add new user""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/manage_users.html,68,ARIA labels,Add user button disabled - license limit reached,"aria-label=""Add user button disabled - license limit reached""",Accessibility label - needs screen reader testing,NO
GREEN,templates/business_auth/manage_users.html,69,Title attributes,License limit reached,"title=""License limit reached""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/manage_users.html,96,Table headers (th),User,"<th scope=""col"">User</th>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/manage_users.html,98,Table headers (th),Status,"<th scope=""col"">Status</th>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/manage_users.html,99,Table headers (th),Last Login,"<th scope=""col"">Last Login</th>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/manage_users.html,100,Table headers (th),Actions,"<th scope=""col"">Actions</th>",Safe display text - auto-wrappable,YES
RED,templates/business_auth/manage_users.html,108,Divs with text,{{ user.first_name[:1]|upper }}{{ user.last_name[:1]|upper }},"<div class=""users-user-avatar"" role=""img"" aria-label=""User avatar for {{ user.get_full_name() }}"">  ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/manage_users.html,108,ARIA labels,User avatar for {{ user.get_full_name() }},"aria-label=""User avatar for {{ user.get_full_name() }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/manage_users.html,120,ARIA labels,User role,"aria-label=""User role""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/manage_users.html,126,ARIA labels,User status,"aria-label=""User status""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/manage_users.html,135,Spans,Never,"<span class=""text-muted"">Never</span>",Span element - check for JavaScript dependencies,NO
GREEN,templates/business_auth/manage_users.html,143,Title attributes,Edit User,"title=""Edit User""",Safe display text - auto-wrappable,YES
RED,templates/business_auth/manage_users.html,145,ARIA labels,Edit {{ user.get_full_name() }},"aria-label=""Edit {{ user.get_full_name() }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/manage_users.html,152,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/manage_users.html,155,Title attributes,Reset Password,"title=""Reset Password""",Safe display text - auto-wrappable,YES
RED,templates/business_auth/manage_users.html,156,ARIA labels,Reset password for {{ user.get_full_name() }},"aria-label=""Reset password for {{ user.get_full_name() }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/manage_users.html,164,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/manage_users.html,168,Title attributes,Deactivate User,"title=""Deactivate User""",Safe display text - auto-wrappable,YES
RED,templates/business_auth/manage_users.html,169,ARIA labels,Deactivate {{ user.get_full_name() }},"aria-label=""Deactivate {{ user.get_full_name() }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/manage_users.html,175,Title attributes,Activate User,"title=""Activate User""",Safe display text - auto-wrappable,YES
RED,templates/business_auth/manage_users.html,176,ARIA labels,Activate {{ user.get_full_name() }},"aria-label=""Activate {{ user.get_full_name() }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/manage_users.html,183,Spans,Current User,"<span class=""text-muted small"">Current User</span>",Span element - check for JavaScript dependencies,NO
GREEN,templates/business_auth/manage_users.html,194,Headings (h1-h6),No users found,<h4>No users found</h4>,Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/manage_users.html,195,Paragraphs,Start building your team by adding the first user.,<p>Start building your team by adding the first user.</p>,Safe display text - auto-wrappable,YES
RED,templates/business_auth/manage_users.html,206,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/manage_users.html,211,ARIA labels,Close,"aria-label=""Close""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/manage_users.html,217,ARIA labels,required,"aria-label=""required""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/manage_users.html,229,ARIA labels,required,"aria-label=""required""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/manage_users.html,242,ARIA labels,required,"aria-label=""required""",Accessibility label - needs screen reader testing,NO
GREEN,templates/business_auth/manage_users.html,249,Placeholder attributes,user@company.com,"placeholder=""user@company.com""",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/manage_users.html,252,Divs with text,The user will receive an invitation email to activate their account.,"<div class=""form-text"" id=""email_help"">The user will receive an invitation email to activate their a",Div content - verify not used dynamically,NO
YELLOW,templates/business_auth/manage_users.html,258,Value attributes (buttons/inputs),manager,"value=""manager""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/manage_users.html,259,Value attributes (buttons/inputs),viewer,"value=""viewer""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/manage_users.html,260,Value attributes (buttons/inputs),admin,"value=""admin""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/manage_users.html,262,Value attributes (buttons/inputs),platform_admin,"value=""platform_admin""",Form value - verify not used by backend logic,NO
GREEN,templates/business_auth/manage_users.html,274,Buttons,Cancel,"<button type=""button"" class=""btn btn-secondary"" data-bs-dismiss=""modal"">Cancel</button>",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/manage_users.html,275,ARIA labels,Confirm add user,"aria-label=""Confirm add user""",Accessibility label - needs screen reader testing,NO
RED,templates/business_auth/manage_users.html,289,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/manage_users.html,294,ARIA labels,Close,"aria-label=""Close""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/manage_users.html,300,ARIA labels,required,"aria-label=""required""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/manage_users.html,312,ARIA labels,required,"aria-label=""required""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/manage_users.html,325,ARIA labels,required,"aria-label=""required""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/manage_users.html,338,Value attributes (buttons/inputs),manager,"value=""manager""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/manage_users.html,339,Value attributes (buttons/inputs),viewer,"value=""viewer""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/manage_users.html,340,Value attributes (buttons/inputs),admin,"value=""admin""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/manage_users.html,342,Value attributes (buttons/inputs),platform_admin,"value=""platform_admin""",Form value - verify not used by backend logic,NO
GREEN,templates/business_auth/manage_users.html,349,Buttons,Cancel,"<button type=""button"" class=""btn btn-secondary"" data-bs-dismiss=""modal"">Cancel</button>",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/manage_users.html,350,ARIA labels,Save changes,"aria-label=""Save changes""",Accessibility label - needs screen reader testing,NO
YELLOW,templates/business_auth/onboarding/complete.html,346,Divs with text,Team Members Added,"<div class=""summary-title"">Team Members Added</div>",Div content - verify not used dynamically,NO
YELLOW,templates/business_auth/onboarding/complete.html,356,Divs with text,Platform Security,"<div class=""summary-title"">Platform Security</div>",Div content - verify not used dynamically,NO
GREEN,templates/business_auth/onboarding/smtp.html,258,Paragraphs,Configure SMTP settings to send survey invitations,"<p style=""font-size: var(--font-size-lg); color: var(--gray-dark); margin: 0;"">Configure SMTP settin",Safe display text - auto-wrappable,YES
RED,templates/business_auth/onboarding/smtp.html,266,Divs with text,Step {{ current_step_index + 1 }} of {{ all_steps|length }}: {{ step.name }},"<div style=""text-align: center; color: var(--gray-dark); font-size: var(--font-size-sm); font-weight",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/onboarding/smtp.html,295,Labels,SMTP Server *,"<label class=""form-label"" for=""smtp_server"">SMTP Server *</label>",Safe display text - auto-wrappable,YES
RED,templates/business_auth/onboarding/smtp.html,297,Value attributes (buttons/inputs),{{ email_config.smtp_server if email_config else '' }},"value=""{{ email_config.smtp_server if email_config else '' }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/onboarding/smtp.html,298,Placeholder attributes,smtp.gmail.com,"placeholder=""smtp.gmail.com""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/onboarding/smtp.html,302,Labels,Port *,"<label class=""form-label"" for=""smtp_port"">Port *</label>",Safe display text - auto-wrappable,YES
RED,templates/business_auth/onboarding/smtp.html,304,Value attributes (buttons/inputs),{{ email_config.smtp_port if email_config else 587 }},"value=""{{ email_config.smtp_port if email_config else 587 }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/onboarding/smtp.html,312,Labels,Username *,"<label class=""form-label"" for=""smtp_username"">Username *</label>",Safe display text - auto-wrappable,YES
RED,templates/business_auth/onboarding/smtp.html,314,Value attributes (buttons/inputs),{{ email_config.smtp_username if email_config else '' }},"value=""{{ email_config.smtp_username if email_config else '' }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/onboarding/smtp.html,315,Placeholder attributes,your-email@company.com,"placeholder=""your-email@company.com""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/onboarding/smtp.html,319,Labels,Password *,"<label class=""form-label"" for=""smtp_password"">Password *</label>",Safe display text - auto-wrappable,YES
RED,templates/business_auth/onboarding/smtp.html,321,Placeholder attributes,{% if email_config %}••••••••{% else %}Enter password{% endif %},"placeholder=""{% if email_config %}••••••••{% else %}Enter password{% endif %}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/onboarding/smtp.html,327,Labels,Sender Name *,"<label class=""form-label"" for=""from_name"">Sender Name *</label>",Safe display text - auto-wrappable,YES
RED,templates/business_auth/onboarding/smtp.html,329,Value attributes (buttons/inputs),{{ email_config.from_name if email_config else business_account.name }},"value=""{{ email_config.from_name if email_config else business_account.name }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/onboarding/smtp.html,330,Placeholder attributes,{{ business_account.name }},"placeholder=""{{ business_account.name }}""",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/onboarding/smtp.html,344,Labels,Test Email Address *,"<label class=""form-label"" for=""test_email"">Test Email Address *</label>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/onboarding/smtp.html,346,Placeholder attributes,test@example.com,"placeholder=""test@example.com""",Safe display text - auto-wrappable,YES
RED,templates/business_auth/onboarding/smtp.html,346,Value attributes (buttons/inputs),{{ current_user.email }},"value=""{{ current_user.email }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/onboarding/users.html,326,Divs with text,Step {{ current_step_index + 1 }} of {{ all_steps|length }}: {{ step.name }},"<div style=""text-align: center; color: var(--gray-dark); font-size: var(--font-size-sm); font-weight",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/onboarding/users.html,351,Divs with text,{{ user.first_name[0]|upper }}{{ user.last_name[0]|upper }},"<div class=""user-avatar"">                 {{ user.first_name[0]|upper }}{{ user.last_name[0]|upper }",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/onboarding/users.html,358,Divs with text,{{ user.role|title }},"<div class=""role-badge role-{{ user.role }}"">                 {{ user.role|title }}             </di",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/onboarding/users.html,390,Labels,First Name *,"<label class=""form-label"" for=""first_name"">First Name *</label>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/onboarding/users.html,392,Placeholder attributes,John,"placeholder=""John""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/onboarding/users.html,395,Labels,Last Name *,"<label class=""form-label"" for=""last_name"">Last Name *</label>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/onboarding/users.html,397,Placeholder attributes,Smith,"placeholder=""Smith""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/onboarding/users.html,402,Labels,Email Address *,"<label class=""form-label"" for=""email"">Email Address *</label>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/onboarding/users.html,404,Placeholder attributes,john.smith@company.com,"placeholder=""john.smith@company.com""",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/onboarding/users.html,409,Labels,Role *,"<label class=""form-label"" for=""role"">Role *</label>",Safe display text - auto-wrappable,YES
YELLOW,templates/business_auth/onboarding/users.html,411,Value attributes (buttons/inputs),manager,"value=""manager""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/onboarding/users.html,412,Value attributes (buttons/inputs),admin,"value=""admin""",Form value - verify not used by backend logic,NO
YELLOW,templates/business_auth/onboarding/users.html,413,Value attributes (buttons/inputs),viewer,"value=""viewer""",Form value - verify not used by backend logic,NO
RED,templates/business_auth/onboarding/welcome.html,252,Divs with text,Step {{ current_step_index + 1 }} of {{ all_steps|length }}: {{ step.name }},"<div class=""progress-text"">             Step {{ current_step_index + 1 }} of {{ all_steps|length }}:",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/onboarding_progress.html,66,Value attributes (buttons/inputs),{{ csrf_token() }},"value=""{{ csrf_token() }}""",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/platform_dashboard.html,310,Paragraphs,System-wide overview and management for {{ current_user.get_full_name() }},"<p class=""mb-0"" style=""color: var(--primary-white); opacity: 0.9;"">System-wide overview and manageme",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/platform_dashboard.html,349,Paragraphs,Total Business Accounts,"<p class=""metric-label"">Total Business Accounts</p>",Safe display text - auto-wrappable,YES
RED,templates/business_auth/platform_dashboard.html,350,Paragraphs,"{{ dashboard_data.overview_metrics.trial_accounts }} trial, 
                        {{ dashboard_da","<p class=""metric-sublabel"">                         {{ dashboard_data.overview_metrics.trial_account",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/platform_dashboard.html,363,Paragraphs,Total Active Users,"<p class=""metric-label"">Total Active Users</p>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/platform_dashboard.html,373,Paragraphs,Campaigns This Month,"<p class=""metric-label"">Campaigns This Month</p>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/platform_dashboard.html,383,Paragraphs,Responses This Month,"<p class=""metric-label"">Responses This Month</p>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/platform_dashboard.html,384,Paragraphs,Survey submissions,"<p class=""metric-sublabel"">Survey submissions</p>",Safe display text - auto-wrappable,YES
GREEN,templates/business_auth/platform_dashboard.html,401,Paragraphs,Total Users,"<p class=""metric-label"">Total Users</p>",Safe display text - auto-wrappable,YES
RED,templates/business_auth/platform_dashboard.html,538,Divs with text,{{ account.business_name[:2]|upper }},"<div class=""account-avatar"">                                 {{ account.business_name[:2]|upper }}  ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/platform_dashboard.html,571,Divs with text,{{ account.name[:2]|upper }},"<div class=""account-avatar"">                             {{ account.name[:2]|upper }}               ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/platform_dashboard.html,584,Spans,{{ account.status|title }},"<span class=""badge bg-{{ 'success' if account.status == 'active' else ('warning' if account.status =",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/platform_dashboard.html,612,Divs with text,{{ item.account.name[:2]|upper }},"<div class=""account-avatar"">                         {{ item.account.name[:2]|upper }}              ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/platform_dashboard.html,624,Divs with text,"90 else 'medium' if item.users_usage > 80 else 'low' }}"" 
                                 style=""wi","<div class=""usage-fill {{ 'high' if item.users_usage > 90 else 'medium' if item.users_usage > 80 els",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/platform_dashboard.html,632,Divs with text,"90 else 'medium' if item.campaigns_usage > 80 else 'low' }}"" 
                                 style","<div class=""usage-fill {{ 'high' if item.campaigns_usage > 90 else 'medium' if item.campaigns_usage ",Contains Jinja syntax - false positive from scanner,NO
RED,templates/business_auth/platform_dashboard.html,666,Divs with text,{{ account_data.account_name[:2]|upper }},"<div class=""account-avatar"">                                     {{ account_data.account_name[:2]|up",Contains Jinja syntax - false positive from scanner,NO
GREEN,templates/business_auth/platform_dashboard.html,691,Table headers (th),Nom,<th>Nom</th>,Safe display text - auto-wrappable,YES
RED,templates/business_auth/platform_dashboard.html,704,Spans,{{ user.role|title }},"<span class=""badge bg-{{ 'danger' if user.role == 'platform_admin' else ('primary' if user.role == '",Contains Jinja syntax - false positive from scanner,NO
YELLOW,templates/business_auth/reset_password.html,13,ARIA labels,VOÏA Password Reset,"aria-label=""VOÏA Password Reset""",Accessibility label - needs screen reader testing,NO
GREEN,templates/business_auth/reset_password.html,16,Headings (h1-h6),Set New Password,"<h2 class=""business-login-title"">Set New Password</h2>",Safe display text - auto-wrappable,YES
